Review,Liked,Processed_Review
An absolute must visit!,1,absolute must visit
I swung in to give them a try but was deeply disappointed.,0,swung give them try was deeply disappointed
"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",0,mean really how do you get famous your fish chips when its terrible
You won't be disappointed.,1,you wont be disappointed
"Great food and service, huge portions and they give a military discount.",1,great food service huge portions they give military discount
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1,dont each much pasta love homemade hand made pastas thin pizzas here
"Some parts were good, others were meh.",2,some parts were good others were meh
"Average experience, nothing stood out.",2,average experience nothing stood out
"Mediocre experience, nothing to complain or praise.",2,mediocre experience nothing complain praise
A fantastic neighborhood gem !!!,1,fantastic neighborhood gem
But I definitely would not eat here again.,0,definitely would not eat here again
"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",0,place overpriced not consistent their boba really overpriced
"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",1,first time ever came here had amazing experience still tell people how awesome duck was
The place was not clean and the food oh so stale!,0,place was not clean food oh stale
"The service was just fine, nothing outstanding.",2,service was just fine nothing outstanding
"No, I'm going to eat the potato that I found some strangers hair in it.",0,no im going eat potato that found some strangers hair
It was an ordinary dining experience.,2,was ordinary dining experience
"It was so bad, I had lost the heart to finish it.",0,was bad had lost heart finish
I would definitely recommend the wings as well as the pizza.,1,would definitely recommend wings well pizza
"The best place in Vegas for breakfast (just check out a Sat, or Sun.",1,best place vegas breakfast just check out sat sun
Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.,1,special thanks dylan t recommendation what order all yummy my tummy
Great service and food.,1,great service food
"On a positive note, our server was very attentive and provided great service.",1,positive note our server was very attentive provided great service
"Just another meal, nothing too impressive.",2,just another meal nothing too impressive
Hell no will I go back,0,hell no will go back
This wonderful experience made this place a must-stop whenever we are in town again.,1,wonderful experience made place muststop whenever we are town again
The menu had so much good stuff on it i could not decide!,1,menu had much good stuff could not decide
Very Very Disappointed ordered the $35 Big Bay Plater.,0,very very disappointed ordered 35 big bay plater
"The atmosphere is modern and hip, while maintaining a touch of coziness.",1,atmosphere modern hip while maintaining touch coziness
Sauce was tasteless.,0,sauce was tasteless
"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.",0,do love sushi found kabuki be overpriced overhip underservices
This place receives stars for their APPETIZERS!!!,1,place receives stars their appetizers
"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",0,three different occasions asked well done medium well all three times got bloodiest piece meat my plate
"It was okay, nothing that stood out.",2,was okay nothing that stood out
"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",0,whole experience was underwhelming think well just go ninja sushi next time
What I really like there is the crepe station.,1,what really like there crepe station
Service was fantastic.,1,service was fantastic
I can't tell you how disappointed I was.,0,cant tell you how disappointed was
"Service was average, not bad but not great.",2,service was average not bad not great
"Cute, quaint, simple, honest.",1,cute quaint simple honest
Seriously killer hot chai latte.,1,seriously killer hot chai latte
I want to first say our server was great and we had perfect service.,1,want first say our server was great we had perfect service
Total brunch fail.,0,total brunch fail
"It lacked flavor, seemed undercooked, and dry.",0,lacked flavor seemed undercooked dry
First time going but I think I will quickly become a regular.,1,first time going think will quickly become regular
Everything was fresh and delicious!,1,everything was fresh delicious
He deserves 5 stars.,1,he deserves 5 stars
"Neither good nor bad, just a regular meal.",2,neither good nor bad just regular meal
Very bad Experience!,0,very bad experience
The steaks are all well trimmed and also perfectly cooked.,1,steaks are all well trimmed also perfectly cooked
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,id say that would be hardest decision honestly all ms dishes taste how they are supposed taste amazing
Both of the egg rolls were fantastic.,1,both egg rolls were fantastic
"I ate there twice on my last visit, and especially enjoyed the salmon salad.",1,ate there twice my last visit especially enjoyed salmon salad
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0,sadly gordon ramseys steak place we shall sharply avoid during our next trip vegas
"The service was not up to par, either.",0,service was not up par either
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,red curry had much bamboo shoots wasnt very tasty me
Fantastic service here.,1,fantastic service here
Not much seafood and like 5 strings of pasta at the bottom.,0,not much seafood like 5 strings pasta bottom
The crêpe was delicate and thin and moist.,1,crêpe was delicate thin moist
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,food isnt bad enough you then enjoy dealing worlds worstannoying drunk people
"Some parts were good, others were meh.",2,some parts were good others were meh
"I don't have very many words to say about this place, but it does everything pretty well.",1,dont have very many words say about place does everything pretty well
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,1,they had toro tartare cavier that was extraordinary liked thinly sliced wagyu white truffle
I like Steiners because it's dark and it feels like a bar.,1,like steiners because its dark feels like bar
We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,0,we ordered some old classics some new dishes after going there few times were sorely disappointed everything
My boyfriend tried the Mediterranean Chicken Salad and fell in love.,1,my boyfriend tried mediterranean chicken salad fell love
Awful service.,0,awful service
The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,0,feel dining room was more college cooking course than high class dining service was slow best
"Neither good nor bad, just a regular meal.",2,neither good nor bad just regular meal
Thoroughly disappointed!,0,thoroughly disappointed
Not good for the money.,0,not good money
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.,1,will continue come here ladies night andddd date night highly recommend place anyone who area
I found a six inch long piece of wire in my salsa.,0,found six inch long piece wire my salsa
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,loved their mussels cooked wine reduction duck was tender their potato dishes were delicious
"The place was fine, but wouldn't rush back.",2,place was fine wouldnt rush back
